Player,ECO
Alexandr_KhleBovich,A40W
KNCP_719,D00B
Barneo00,D00W
gmmitkov,D00W
Karlmessinger,D00B
dark-knight01,D00W
david_gomez,D00B
Aleksandr_ShneiderGM,D00B
JosephJess,D00B
dark-knight01,D00W
Federtiu,D00B
gmmitkov,D00B
FallacyofComposition,D00W
MrSOK,D00B
MrSOK,B22B
KNCP_719,D14B
KNCP_719,D45B
SouthAfricanWolf,E04W
dark-knight01,E04B
Armen_Barseghyan,D36W
JosephJess,D36B
david_gomez,D36W
JosephJess,D36B
samovich,D37W
gidropark,D37B
samovich,D37W
Trickystuff1,D37B
Napo18,E00B
theemperador,D13W
samisahi,D13B
Fantastic_power06,D02W
drawingchest,D02B
samisahi,D02W
theemperador,D02B
KNCP_719,D02B
Haydon,D02W
SuperConfinado,D02B
samisahi,D02W
DrMelekess,D12W
SuperConfinado,D30B
Alexandr_KhleBovich,E01W
JosephJess,E01B
jelmatos,C41B
Lukianoo,B09B
dark-knight01,B07W
jelmatos,B07B
Fantastic_power06,A32W
Rekcul,A32B
js20000,A40W
GingerGM,A40B
js20000,C10W
Rekcul,C10B
theemperador,A46W
papasi,A46B
js20000,C16W
Vid_Dobrovoljc,C16B
dark-knight01,A40W
Vid_Dobrovoljc,A40B
Haydon,A87W
Fantastic_power06,B06W
feodosya75,B06B
theemperador,A40W
theemperador,A40W
samisahi,A41W
feodosya75,A41B
gidropark,B06W
Hawkeye_A,B06W
DrMelekess,B06B
dark-knight01,A45W
Italiangangster,A45B
dark-knight01,A45W
RussianBlizzard,A45B
Hawkeye_A,D00W
MahammadMuradli2003,D00B
Barneo00,D00W
dark-knight01,A45W
Goldbart,A45B
Hawkeye_A,A43W
Aleksandr_ShneiderGM,A45B
MrSOK,A45W
pascalka0409,A45B
akitalover,A45W
samovich,A45B
interestinglandscape,A53W
dschwarz,E62W
papasi,D85W
Saparmyrat,D85B
Boris_Markoja,A56W
interestinglandscape,E91W
david_gomez,E91B
david_gomez,A79B
Karlmessinger,A56B
Arseniii_Nesterov,A56W
Barneo00,A56B
interestinglandscape,A59W
Romsta,A59B
PhoenixRebornAshes,E04B
IVK88,E21B
Boris_Markoja,E20W
EleKtRoMaGnIt,E20B
Lukianoo,E42B
Avenger82,E43W
Saparmyrat,E43B
Lukianoo,E57B
Lukianoo,E42B
Lukianoo,E26B
Lukianoo,E42B
Lukianoo,B14B
Ocheret,E54W
chessed70,E54B
Enialios,E35B
papasi,E35W
RussianBlizzard,D35B
Arseniii_Nesterov,E18B
Karlmessinger,E11B
GroundEffect,E11W
Karlmessinger,E11B
Elda64,E11W
Karlmessinger,E11B
Karlmessinger,E11B
Federtiu,E04B
david_gomez,D45W
Arseniii_Nesterov,D38W
Selfiesolated,D52B
interestinglandscape,E70W
interestinglandscape,E91W
SouthAfricanWolf,A65W
TheRedKing89,A65B
SouthAfricanWolf,E70W
Rikikits,E70B
papasi,E85W
theemperador,E85B
ElAsesinoFavorito,E76W
papasi,E81W
Crazy_8m,E81B
Lector118,E91W
Romsta,E91B
samovich,D90B
gidropark,D85W
samovich,D85B
Lunaticxxx,A47W
Yarebore,A47B
Prettyfishy,D55B
david_gomez,D11W
JosephJess,D11B
Sensei82,A46W
EleKtRoMaGnIt,A46B
RussianBlizzard,D02B
david_gomez,D05W
Armen_Barseghyan,A46W
filolog,A46B
"Ratkovic, Miloje",A46W
Aleksandr_ShneiderGM,A46B
Elda64,A46W
Karlmessinger,A46B
DarmenS,E12B
Shant7777777,B08W
Chesstoday,A48W
Sensei82,A48W
Sensei82,A48W
EleKtRoMaGnIt,A48B
JelenaZ,A48B
Haydon,E62W
Minos44,E62B
RussianBlizzard,C26W
EleKtRoMaGnIt,B00W
Tayka,B00B
gmmitkov,C28W
Federtiu,A00W
JosephJess,A00B
EleKtRoMaGnIt,B00W
Tayka,B00B
feodosya75,B20W
Saparmyrat,B20B
Rikikits,B20B
Lukianoo,B20W
Lukianoo,B20W
feodosya75,B20W
Rikikits,B20W
Karlmessinger,B20B
Lukianoo,B20W
Partake,B22W
sebastiano1908,B22B
Arystanner23,B22B
Lukianoo,B22W
Tyrann,B21W
RussianBlizzard,B21B
Saparmyrat,B76B
gmmitkov,B23W
Karlmessinger,B23B
Haydon,B24W
Barneo00,B24B
Fantastic_power06,B23W
kirill_kopyonkin,B23B
Meysonn,B25W
Federtiu,B23W
Ocheret,B23B
UnknownSuperGM,B45B
hungzhao,B23B
Meysonn,B23W
BlueGreensun,B23W
Karlmessinger,B45W
david_gomez,B45B
Boris_Markoja,B27B
RussianBlizzard,B29B
EleKtRoMaGnIt,B36W
Boris_Markoja,B36B
ElhachaGM,B28W
Fighterman91,B29W
RussianBlizzard,B29B
drawingchest,B28W
drawingchest,B50B
JosephJess,B50W
Queen_Annes_Revenge,B50B
SuperConfinado,B51W
testviking,B51B
KNCP_719,B52W
JelenaZ,B52B
KNCP_719,B51W
Naaas,B51B
JosephJess,B52W
Alexandr_KhleBovich,B52B
Avenger82,B54W
Saparmyrat,B54B
Maurice93,B54W
RussianBlizzard,B90W
EleKtRoMaGnIt,B90W
Tayka,B90B
PhoenixRebornAshes,B90W
Alexandr_KhleBovich,B90B
sopueyz,B90W
MahammadMuradli2003,B90B
ElhachaGM,B95W
interestinglandscape,B95B
NoFastDraw,B78B
Prettyfishy,B78W
Goldbart,B78B
kirill_kopyonkin,B56W
Naaas,B56B
kirill_kopyonkin,B80W
Naaas,B80B
david_gomez,B22B
Lukianoo,B22W
Lukianoo,B22W
KNCP_719,B40W
david_gomez,B40B
Karlmessinger,B43W
GroundEffect,B43B
JosephJess,B22W
Maurice93,B22B
KNCP_719,B40W
Barneo00,B40B
KNCP_719,B40W
Barneo00,B40B
Lukianoo,B22W
Lukianoo,B22W
JosephJess,B22W
david_gomez,B22B
Rekcul,B40W
RussianBlizzard,B83W
Tyrann,B83B
ElhachaGM,B84W
Karlmessinger,B84B
Corre_por_tu_vida,B43W
Crazy_8m,B43B
Minos44,B41W
Crazy_8m,B41B
Queen_Annes_Revenge,B42W
Barneo00,B42B
Queen_Annes_Revenge,B42W
Barneo00,B42B
Crazy_8m,B42B
"Nguyen, Duc Hoa",B48W
GroundEffect,B47B
hesham-a,B45W
david_gomez,B45B
gidropark,B83B
Prettyfishy,B40W
"Nguyen, Duc Hoa",B45W
Maurice93,B45B
Karlmessinger,B30W
Rikikits,B30B
Corre_por_tu_vida,B30B
KNCP_719,B31W
Rekcul,B31B
Karlmessinger,B31W
Rekcul,B31B
hungzhao,B31W
JosephJess,B31W
Armen_Barseghyan,B31B
Maurice93,B44W
"Nguyen, Duc Hoa",B44B
drawingchest,B35W
Rekcul,B35B
Saparmyrat,B33W
Avenger82,B33B
